id,score,total_errors,popularity
6814039,-1,1,unpopular
55351382,-1,19,unpopular
23390290,-1,25,unpopular
17724030,-1,2,unpopular
14619159,-1,2,unpopular
57747877,-1,13,unpopular
53354155,-1,4,unpopular
28684877,-1,14,unpopular
25242479,-1,2,unpopular
34524473,-1,20,unpopular
34205598,-1,2,unpopular
55960236,-1,3,unpopular
61097646,-1,3,unpopular
57341098,-1,2,unpopular
40713963,-1,4,unpopular
40372475,-1,6,unpopular
47656555,-1,4,unpopular
4732317,-1,1,unpopular
38938141,-1,3,unpopular
38719594,-1,4,unpopular
45879308,-1,1,unpopular
38270226,-1,6,unpopular
27467776,-1,4,unpopular
39792549,-1,1,unpopular
30165254,-1,2,unpopular
60411262,-1,1,unpopular
45788766,-1,1,unpopular
37678335,-1,2,unpopular
53479646,-1,1,unpopular
11825814,-1,3,unpopular
26455653,-1,4,unpopular
19542444,-1,2,unpopular
24426892,-1,1,unpopular
25987618,-1,2,unpopular
27270115,-1,2,unpopular
25587714,-1,1,unpopular
21280285,-1,1,unpopular
57765340,-1,10,unpopular
26814831,-1,5,unpopular
13442240,-1,2,unpopular
32467189,-1,7,unpopular
24727954,-1,2,unpopular
42559400,-1,3,unpopular
53748500,-1,5,unpopular
29465899,-1,5,unpopular
40563727,-1,5,unpopular
37467894,-1,3,unpopular
27322205,-1,1,unpopular
26677114,-1,1,unpopular
51039382,-1,1,unpopular
55803746,-1,1,unpopular
23024120,-1,1,unpopular
41428569,-1,45,unpopular
46135728,-1,1,unpopular
10205662,-1,2,unpopular
15908608,-1,39,unpopular
14121378,-1,4,unpopular
17928300,-1,3,unpopular
52840245,-1,5,unpopular
27743109,-1,3,unpopular
30319040,-1,10,unpopular
56901119,-1,23,unpopular
38940244,-1,2,unpopular
15985453,-1,12,unpopular
21719059,-1,14,unpopular
40791883,-1,67,unpopular
56160086,-1,5,unpopular
34639495,-1,9,unpopular
52733754,-1,8,unpopular
29935212,-1,3,unpopular
25957064,-1,3,unpopular
15715172,-1,2,unpopular
43773084,-1,1,unpopular
11872144,-1,6,unpopular
48364677,-1,1,unpopular
38477450,-1,6,unpopular
28663621,-1,2,unpopular
21153990,-1,5,unpopular
38263337,-1,1,unpopular
12942872,-1,6,unpopular
12386566,-1,7,unpopular
19694314,-1,1,unpopular
48574237,-1,2,unpopular
61919018,-1,4,unpopular
45499781,-1,2,unpopular
52645377,-1,7,unpopular
32195930,-1,1,unpopular
45771011,-1,6,unpopular
16685691,-1,21,unpopular
49401801,-1,3,unpopular
61147301,-1,1,unpopular
22602711,-1,1,unpopular
59978906,-1,1,unpopular
44865837,-1,5,unpopular
41352884,-1,2,unpopular
30300200,-1,5,unpopular
22035358,-1,6,unpopular
34207902,-1,1,unpopular
56766548,-1,14,unpopular
37591152,-1,7,unpopular
45937036,-1,2,unpopular
41497906,-1,3,unpopular
42486649,-1,1,unpopular
30863750,-1,1,unpopular
12909706,-1,2,unpopular
22462364,-1,2,unpopular
23388026,-1,2,unpopular
23142742,-1,31,unpopular
36894367,-1,10,unpopular
12140254,-1,1,unpopular
15026875,-1,6,unpopular
33367238,-1,4,unpopular
6761391,-1,8,unpopular
33309695,-1,1,unpopular
12179311,-1,1,unpopular
36790646,-1,5,unpopular
52307314,-1,1,unpopular
40435026,-1,9,unpopular
43386327,-1,3,unpopular
37400547,-1,1,unpopular
48274624,-1,32,unpopular
34854786,-1,2,unpopular
23243805,-1,2,unpopular
20870905,-1,7,unpopular
33998984,-1,1,unpopular
22839411,-1,1,unpopular
21605081,-1,1,unpopular
38283788,-1,2,unpopular
42152775,-1,4,unpopular
21858497,-1,3,unpopular
30659626,-1,4,unpopular
40104306,-1,5,unpopular
41301148,-1,6,unpopular
33995499,-1,3,unpopular
20142084,-1,75,unpopular
35649935,-1,20,unpopular
16862379,-1,1,unpopular
32652988,-1,2,unpopular
52368244,-1,1,unpopular
23541417,-1,2,unpopular
23675215,-1,26,unpopular
37961390,-1,11,unpopular
39254693,-1,1,unpopular
12299305,-1,1,unpopular
14727437,-1,7,unpopular
54253255,-1,3,unpopular
25946884,-1,49,unpopular
46278582,-1,2,unpopular
37085657,-1,1,unpopular
33374954,-1,2,unpopular
12115693,-1,14,unpopular
60208250,-1,3,unpopular
25185593,-1,33,unpopular
7816804,-1,23,unpopular
16084520,-1,2,unpopular
18291031,-1,2,unpopular
34430136,-1,1,unpopular
22441023,-1,3,unpopular
36978670,-1,41,unpopular
43401008,-1,1,unpopular
31759935,-1,3,unpopular
41209752,-1,7,unpopular
51589193,-1,2,unpopular
43214738,-1,3,unpopular
42024934,-1,12,unpopular
19848834,-1,1,unpopular
57180742,-1,17,unpopular
20882881,-1,4,unpopular
45734064,-1,4,unpopular
34840642,-1,4,unpopular
46905866,-1,6,unpopular
27726040,-1,3,unpopular
48007625,-1,1,unpopular
8860251,-1,10,unpopular
61661293,-1,6,unpopular
22963138,-1,13,unpopular
37017982,-1,15,unpopular
29813926,-1,2,unpopular
15157769,-1,5,unpopular
6464390,-1,11,unpopular
38119931,-1,2,unpopular
25774434,-1,24,unpopular
55600632,-1,1,unpopular
5945449,-1,2,unpopular
32285759,-1,4,unpopular
29313434,-1,1,unpopular
