id,score,total_errors,popularity
24936915,-5,8,unpopular
28167184,-5,2,unpopular
49898414,-5,2,unpopular
48476272,-5,4,unpopular
52553189,-5,7,unpopular
38329486,-5,21,unpopular
41151818,-5,14,unpopular
44358262,-5,9,unpopular
49635004,-5,62,unpopular
28262858,-5,4,unpopular
34435396,-5,18,unpopular
21277214,-5,8,unpopular
33582809,-5,3,unpopular
47749261,-5,1,unpopular
30658336,-5,12,unpopular
10835438,-5,1,unpopular
48824942,-5,2,unpopular
47220341,-5,32,unpopular
40630367,-5,15,unpopular
27478608,-5,7,unpopular
34771525,-5,2,unpopular
21947031,-5,3,unpopular
46924607,-5,36,unpopular
34334362,-5,25,unpopular
42499888,-5,6,unpopular
35170323,-5,11,unpopular
31177535,-5,13,unpopular
17802467,-5,24,unpopular
41411582,-5,4,unpopular
33458747,-5,7,unpopular
24609695,-5,1,unpopular
37131310,-5,4,unpopular
39328586,-5,7,unpopular
31180659,-5,26,unpopular
42019401,-5,1,unpopular
13838438,-5,2,unpopular
45730033,-5,10,unpopular
44387491,-5,6,unpopular
25595703,-5,7,unpopular
32443063,-5,3,unpopular
42098954,-5,5,unpopular
37988751,-5,22,unpopular
47807267,-5,38,unpopular
49767249,-5,5,unpopular
41806011,-5,47,unpopular
36261247,-5,4,unpopular
22712404,-5,59,unpopular
47551868,-5,2,unpopular
32560646,-5,10,unpopular
23673237,-5,41,unpopular
31182069,-5,4,unpopular
29414364,-5,54,unpopular
30914575,-5,26,unpopular
34305203,-5,47,unpopular
50196333,-5,20,unpopular
40827606,-5,9,unpopular
45590479,-5,3,unpopular
61578641,-5,12,unpopular
30756792,-5,20,unpopular
12495078,-5,1,unpopular
24990500,-5,4,unpopular
10425174,-5,12,unpopular
30059698,-5,2,unpopular
48012275,-5,1,unpopular
36742068,-5,2,unpopular
53446581,-5,3,unpopular
25356366,-5,16,unpopular
37843479,-5,1,unpopular
40815145,-5,14,unpopular
33730984,-5,22,unpopular
44436395,-5,3,unpopular
15651520,-5,7,unpopular
47687765,-5,1,unpopular
42072647,-5,3,unpopular
46031116,-5,23,unpopular
45184192,-5,11,unpopular
18366840,-5,6,unpopular
30665520,-5,3,unpopular
39586186,-5,4,unpopular
17781466,-5,2,unpopular
47885181,-5,7,unpopular
36931339,-5,15,unpopular
36330968,-5,35,unpopular
35023952,-5,26,unpopular
30696153,-5,5,unpopular
30721824,-5,5,unpopular
31541310,-5,8,unpopular
13827233,-5,114,unpopular
48335694,-5,2,unpopular
31372017,-5,1,unpopular
59405368,-5,2,unpopular
50713049,-5,2,unpopular
29817035,-5,1,unpopular
52439395,-5,4,unpopular
39032862,-5,70,unpopular
33520952,-5,1,unpopular
45099139,-5,7,unpopular
48417946,-5,4,unpopular
30629851,-5,4,unpopular
48145609,-5,1,unpopular
30438666,-5,19,unpopular
48983735,-5,1,unpopular
27915572,-5,125,unpopular
34555047,-5,1,unpopular
47767543,-5,16,unpopular
14502715,-5,9,unpopular
39509319,-5,2,unpopular
21249286,-5,9,unpopular
46295701,-5,57,unpopular
23051981,-5,13,unpopular
29888499,-5,5,unpopular
31334283,-5,11,unpopular
24002132,-5,8,unpopular
32690604,-4,22,unpopular
47967467,-4,7,unpopular
39086156,-4,15,unpopular
46619424,-4,6,unpopular
38616361,-4,214,unpopular
12138566,-4,32,unpopular
48020959,-4,10,unpopular
35440204,-4,9,unpopular
61654320,-4,19,unpopular
26605044,-4,36,unpopular
47294563,-4,2,unpopular
43343394,-4,2,unpopular
30026464,-4,12,unpopular
39865460,-4,4,unpopular
51280921,-4,2,unpopular
50856550,-4,12,unpopular
45410981,-4,12,unpopular
41589423,-4,13,unpopular
50271361,-4,2,unpopular
15134253,-4,31,unpopular
52812690,-4,4,unpopular
32881593,-4,1,unpopular
36856029,-4,3,unpopular
51185347,-4,6,unpopular
51176559,-4,2,unpopular
23569897,-4,15,unpopular
48404873,-4,2,unpopular
46689893,-4,1,unpopular
22626790,-4,53,unpopular
28929247,-4,2,unpopular
50132280,-4,7,unpopular
26679152,-4,10,unpopular
35007992,-4,22,unpopular
39383707,-4,14,unpopular
53893433,-4,2,unpopular
39865716,-4,75,unpopular
31337407,-4,1,unpopular
61348999,-4,20,unpopular
45415765,-4,7,unpopular
53351994,-4,9,unpopular
31316706,-4,1,unpopular
44367616,-4,1,unpopular
59158129,-4,8,unpopular
30728812,-4,8,unpopular
38309151,-4,2,unpopular
49814291,-4,1,unpopular
33494626,-4,1,unpopular
51632668,-4,2,unpopular
23700568,-4,4,unpopular
44234492,-4,1,unpopular
19183339,-4,3,unpopular
59710557,-4,19,unpopular
